,Sku,ItemName,Category,UnitPrice,ItemId,Collection,Availability,Color,Gender,Description,Composition
2737,P20237223754300598,STRETCH COTTON MIDI DRESS,"['Polo, Camicie e Top']",245.0,2737,Spring-Summer,1,598,Women,stretch cotton midi dress with side curls the flounced hem enhances its elegance while the hidden side pockets and side slits provide comfort the perfect garment for any occasion,cotton
2738,P20237223954300001,V-NECK MIDI DRESS,"['Polo, Camicie e Top']",240.0,2738,Spring-Summer,1,001,Women,stretch cotton shortsleeved vneck midi dress with curls the clean soft line is enhanced by the rounded hem and side slits for a neat and soughtafter look,cotton
2739,P20236021080307001,ELBOW SLEEVES T-SHIRT,"['Polo, Camicie e Top']",165.0,2739,Spring-Summer,1,001,Women,ribbed stretch cotton jersey elbow sleeve tshirt embellished with a dropshaped detail on the back and a cotton insert on the front and elbow a garment with a minimalist line perfect to enrich any outfits,cotton
2740,P20236019196803306,LINEN SKIPPER POLO,"['Polo, Camicie e T-shirt']",172.13,2740,Spring-Summer,1,306,Men,linen longsleeved polo shirt being entirely made of natural yarns this garment maintains its original features longer after being washed innumerable times linen can absorb moisture and thanks to its high thermal conductivity will leave even the most sensitive skin with a dry feeling fashion fit,linen
2741,P20232318024809460,LINEN CABLE CREW NECK,"['Maglieria, Giacche']",210.0,2741,Spring-Summer,1,460,Men,linen cable crewneck sweater 100 natural yarn is resistant to time and washes linen is a yarn capable of absorbing moisture guaranteeing high thermal conductivity giving sensations of freshness even on the most sensitive skin fashion fit,linen
2742,P20235712217112598,TRAVEL WOOL KNIT JACKET,"['Maglieria, Giacche']",501.35,2742,Spring-Summer,1,598,Men,travel wool knit fabric jacket with classic revers side patch pockets and twobutton closure travel wool is a machinewashable and tumblerdry extrafine merino yarn stainresistant with ecoidro treatment and thanks to the tight and narrow weave of the yarn it is extremely resistant to wear and pilling fashion fit,wool
2743,P20235724124841590,FISHERMAN'S RIB KNIT T-SHIRT,"['Maglieria, Giacche', 'Polo, Camicie e Top']",170.0,2743,Spring-Summer,1,590,Women,fishermans rib pure linen elbow sleeve crew neck shirt featuring contrasting rolled neck the raglan sleeve gives the garment an urban and contemporary twist while the loose fit allows effortless pairings,linen
2744,P20236011179017728,SPREAD COLLAR VINTAGE PIQUET POLO,"['Polo, Camicie e T-shirt', 'Vintage']",144.49,2744,Spring-Summer,1,728,Men,cotton piquè polo with long sleeves angled cuffs spread collar and threebuttons fastening the vintage effect makes this garment casual and soughtafter perfect to be worn with jeans or trousers both in the office and during the leisure time fashion fit,cotton
2745,P20235717724817597,LINEN STRIPED T-SHIRT,['Maglieria'],152.99,2745,Spring-Summer,1,597,Men,striped linen shortsleeved knit tshir being entirely made of natural yarns this garment maintains its original features longer after being washed innumerable times linen can absorb moisture and thanks to its high thermal conductivity will leave even the most sensitive skin with a dry feeling fashion fit,linen
2746,P20236016096803250,LINEN SKIPPER POLO ,"['Polo, Camicie e T-shirt']",139.34,2746,Spring-Summer,1,250,Men,linen shortsleeved polo shirt being entirely made of natural yarns this garment maintains its original features longer after being washed innumerable times linen can absorb moisture and thanks to its high thermal conductivity will leave even the most sensitive skin with a dry feeling fashion fit,linen
2747,P20235716918601070,LINEN AND COTTON KNIT T-SHIRT,"['Polo, Camicie e T-shirt']",165.0,2747,Spring-Summer,1,070,Men,linen and cotton knit tshirt a classic comfy and versatile garment perfect to be paired with a knit jacket cardigan or just worn by itself fashion fit,linen
2748,P20236012081401815,LIGHT PIQUET COTTON SHIRT,"['Polo, Camicie e T-shirt']",200.84,2748,Spring-Summer,1,815,Men,ultralight cotton piqué shirt the french collar and rounded hem make it suitable for sophisticated yet trendy outfits fashion fit,cotton
2749,P20236011374215001,MERCERIZED COTTON PIQUET JERSEY POLO,"['Polo, Camicie e T-shirt']",179.7,2749,Spring-Summer,1,001,Men,jersey shortsleeved polo shirt in lisle piqué cotton this exquisite cotton has unrivaled vibrancy softness and silk effect an understated item easy to throw on over virtually anything fashion fit,cotton
2750,P20236011374215598,MERCERIZED COTTON PIQUET JERSEY POLO,"['Polo, Camicie e T-shirt']",179.7,2750,Spring-Summer,1,598,Men,jersey shortsleeved polo shirt in lisle piqué cotton this exquisite cotton has unrivaled vibrancy softness and silk effect an understated item easy to throw on over virtually anything fashion fit,cotton
2751,P20236016879800508,SPONGE EFFECT POLO,"['Polo, Camicie e T-shirt']",179.7,2751,Spring-Summer,1,508,Men,sponge effect pure cotton shortsleeved polo shirt  a versatile garment with retro flair perfect for work leisure or both fashion fit,cotton
2752,P20235711320625508,CABLE KNIT POLO,"['Polo, Camicie e T-shirt']",274.84,2752,Spring-Summer,1,508,Men,fresh cotton shortsleeved knitted polo shirt with cable knitting and contrasting colour details on the collar sleeve edging and bottom hem a british style piece perfect to wear with a knitted jacket for a street and fashionable look fashion fit,cotton
2753,P20234516714790598,SUPER TASMANIA CREW NECK  ,"['Maglieria, Giacche']",274.84,2753,Spring-Summer,1,598,Men,super tasmania wool crewneck an extra fine bright and extraordinarily soft yarn super tasmania gives wearer pleasant sensations ensuring constant protection and warmth in the winter freshness in the summer nexttoskin softness 365 days a year mens wardrobe musthave fashion fit,wool
2754,P20235514918190598,COTTON V NECK  ,"['Maglieria, Giacche']",135.0,2754,Spring-Summer,1,598,Men,vneck sweater in pure cotton its an adaptable garment that can be worn over a tshirt for a casual look or with a shirt for a more formal style fashion fit,cotton
2755,P20235511118190579,FULL ZIP IN COTONE,"['Maglieria, Giacche']",180.0,2755,Spring-Summer,1,579,Men,pure cotton cardigan with a double slider zip a garment easy to combine perfect for your office attire if paired with a longsleeved shirt or polo or during leisure time if layered with a tshirt fashion fit,cotton
2756,P20235511514290099,MERINOS WOOL V NECK,['Maglieria'],135.0,2756,Spring-Summer,1,099,Men,vneck sweater in extrafine merino wool it is extremely warm and lightweight perfect for a casual outfit or under one of our jackets for a more sought after style fashion fit,wool
2757,P20235516715590098,CASHMERE CREW NECK   ,"['Cashmere', 'Maglieria']",370.0,2757,Spring-Summer,1,098,Men,crew neck sweater in pure cashmere warm soft to the touch and adaptable its an evergreen of mens winter wardrobe fashion fit,cashmere
2758,P20232319018606005,LINKS STITCH CREW NECK,"['Maglieria, Giacche']",306.49,2758,Spring-Summer,1,005,Men,links stitch rolled neck crew neck in linen and cotton a youthful and versatile garment which can be either worn by itself or paired with a jacket or coat an essential piece to wear wherever you go fashion fit,linen
2759,P20234312216212329,SILK AND COTTON RIBBED CREW NECK,"['Maglieria, Giacche']",427.23,2759,Spring-Summer,1,329,Men,silk and cotton ribbed crew neckt a refined and versatile garment with a ribbed pattern which adds a contemporary twist fashion fit,silk
2760,P20237819196810407,JERSEY LINEN JACKET,"['Maglieria, Giacche']",557.25,2760,Spring-Summer,1,407,Men,pure linen notch lapel jacket featuring side pockets and breast pocket perfect fit and extreme versatility make this garment suitable for both office attire and offduty looks being entirely made of natural yarns this garment maintains its original features longer after being washed innumerable times  linen can absorb moisture and thanks to its high thermal conductivity will leave even the most sensitive skin with a dry feeling fashion fit,linen
2761,P20237813076004005,HOODED JERSEY JACKET,"['Maglieria, Giacche']",529.39,2761,Spring-Summer,1,005,Men,sweatshirtstyle stretch cotton hooded jacket with classic lapel twobutton closure and two side patch pockets it also features an inside breast pocket an urban chic garment perfect for work leisure or both fashion fit,cotton
2762,P20234311029401598,SUVIN COTTON KNIT POLO,"['Polo, Camicie e T-shirt']",399.36,2762,Spring-Summer,1,598,Men,suvin cotton shortsleeved polo shirt born in 1971 as a crossbreed of sujata indian cotton and saint vincent 35 sea island cotton from saint vincent island suvin is among the finest in the world thin durable and bright it caresses the skin and gives a pleasant soft feel fashion fit,cotton
2763,P20234317116221598,ZIG-ZAG STITCH SKIPPER POLO,"['Polo, Camicie e T-shirt']",417.94,2763,Spring-Summer,1,598,Men,silk and cotton shortsleeved skipper polo shirt a refined and versatile garment with a vertical micro zigzag pattern which adds a contemporary twist fashion fit,silk
2764,P20235719023202115,KNIT HOODIE ZIP CARDIGAN,"['Cashmere', 'Maglieria, Giacche']",603.69,2764,Spring-Summer,1,115,Men,cotton cashmere sweatshirt hooded cardigan with double slider zip closure a contrasting color drawstring with alcantara buckle adds practicality a precious and versatile garment perfect in combination with a joggingstyle pants to live in elegance even the leisure time fashion fit,cotton
2765,P20235712217112099,TRAVEL WOOL KNIT JACKET,"['Maglieria, Giacche']",501.35,2765,Spring-Summer,1,099,Men,travel wool knit fabric jacket with classic revers side patch pockets and twobutton closure travel wool is a machinewashable and tumblerdry extrafine merino yarn stainresistant with ecoidro treatment and thanks to the tight and narrow weave of the yarn it is extremely resistant to wear and pilling fashion fit,wool
2766,P20235710920678586,PIQUET STITCH CREW NECK,"['Maglieria, Giacche']",190.0,2766,Spring-Summer,1,586,Men,pique stitch fresh cotton crew neck sweater a minimalist and soughtafter garment perfect to be paired with jeans or cotton pants fashion fit,cotton
2767,P20236122850604598,DENIM LINEN OVERSHIRT,"['Maglieria, Giacche', 'Polo, Camicie e Top']",330.0,2767,Spring-Summer,1,598,Women,denim effect pure linen longsleeved spread collar overshirt featuring button closure the contrasting stitching and chest pockets with flap and button are the fashionable details that make this minimalist garment stand out,linen
2768,P20235913520646598,STRIPED KNIT SHIRT,"['Polo, Camicie e T-shirt']",245.0,2768,Spring-Summer,1,598,Men,fresh cotton shortsleeved polo shirt featuring eightbutton front closure the contrasting vertical inlay stripes on the front give a vintage flair to the garment making it perfect for different outfits fashion fit,cotton
2769,P20237817055008047,ALCANTARA BOMBER JACKET,"['Maglieria, Giacche']",550.0,2769,Spring-Summer,1,047,Men,alcantara jacket with central eightbutton closure and two side flap and button pockets the cotton ribbed pattern on collar cuffs and hems increases the fit to the body making the garment ideal to wear fashion fit,alcantara
2770,P20236016096803281,LINEN SKIPPER POLO ,"['Polo, Camicie e T-shirt']",170.0,2770,Spring-Summer,1,281,Men,linen shortsleeved polo shirt being entirely made of natural yarns this garment maintains its original features longer after being washed innumerable times linen can absorb moisture and thanks to its high thermal conductivity will leave even the most sensitive skin with a dry feeling fashion fit,linen
